 Temperature_C1__Closed_Homogeneous_Closed_Homogeneous_(C1)_(K), 1000/T_(1/K), Ignition_time_1_by_ignition_T_(sec),,
1.03E+03,9.74E-01,1.99E-03,,
1.03E+03,9.73E-01,1.95E-03,,
1.03E+03,9.72E-01,1.91E-03,,
1.03E+03,9.71E-01,1.87E-03,,
1.03E+03,9.70E-01,1.83E-03,,
1.03E+03,9.69E-01,1.80E-03,,
1.03E+03,9.68E-01,1.76E-03,,
1.03E+03,9.67E-01,1.72E-03,,
1.04E+03,9.66E-01,1.69E-03,,
1.04E+03,9.65E-01,1.65E-03,,
1.04E+03,9.64E-01,1.62E-03,,
1.04E+03,9.63E-01,1.59E-03,,
1.04E+03,9.62E-01,1.55E-03,,
1.04E+03,9.62E-01,1.52E-03,,
1.04E+03,9.61E-01,1.49E-03,,
1.04E+03,9.60E-01,1.46E-03,,
1.04E+03,9.59E-01,1.43E-03,,
1.04E+03,9.58E-01,1.40E-03,,
1.05E+03,9.57E-01,1.37E-03,,
1.05E+03,9.56E-01,1.35E-03,,
1.05E+03,9.55E-01,1.32E-03,,
1.05E+03,9.54E-01,1.29E-03,,
1.05E+03,9.53E-01,1.27E-03,,
1.05E+03,9.52E-01,1.24E-03,,
1.05E+03,9.51E-01,1.22E-03,,
1.05E+03,9.51E-01,1.19E-03,,
1.05E+03,9.50E-01,1.17E-03,,
1.05E+03,9.49E-01,1.14E-03,,
1.06E+03,9.48E-01,1.12E-03,,
1.06E+03,9.47E-01,1.10E-03,,
1.06E+03,9.46E-01,1.08E-03,,
1.06E+03,9.45E-01,1.05E-03,,
1.06E+03,9.44E-01,1.03E-03,,
1.06E+03,9.43E-01,1.01E-03,,
1.06E+03,9.43E-01,9.93E-04,,
1.06E+03,9.42E-01,9.73E-04,,
1.06E+03,9.41E-01,9.54E-04,,
1.06E+03,9.40E-01,9.35E-04,,
1.07E+03,9.39E-01,9.16E-04,,
1.07E+03,9.38E-01,8.98E-04,,
1.07E+03,9.37E-01,8.80E-04,,
1.07E+03,9.36E-01,8.62E-04,,
1.07E+03,9.35E-01,8.45E-04,,
